Store,Type,Size
24,A,203819
43,C,41062
21,B,140167
13,A,219622
8,A,155078
31,A,203750
35,B,103681
10,B,126512
26,A,152513
38,C,39690
15,B,123737
22,B,119557
12,B,112238
34,A,158114
41,A,196321
14,A,200898
16,B,57197
32,A,203007
11,A,207499
2,A,202307
45,B,118221
4,A,205863
18,B,120653
5,B,34875
1,A,151315
7,B,70713
36,A,39910
20,A,203742
9,B,125833
44,C,39910
37,C,39910
23,B,114533
6,A,202505
3,B,37392
25,B,128107
17,B,93188
27,A,204184
19,A,203819
33,A,39690
30,C,42988
28,A,206302
40,A,155083
29,B,93638
42,C,39690
39,A,184109
